Tue May 17 13:21:14 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.48095, valid loss: 0.48124, Acc: 83.0247, AUC: 0.643765.
Tue May 17 13:30:06 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.40225, valid loss: 0.48642, Acc: 83.3333, AUC: 0.669213.
Tue May 17 13:39:16 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.32348, valid loss: 0.51069, Acc: 80.4012, AUC: 0.660713.
Tue May 17 13:48:34 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.28750, valid loss: 0.56236, Acc: 81.0185, AUC: 0.652585.
Tue May 17 13:57:35 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.23732, valid loss: 0.55588, Acc: 77.0062, AUC: 0.659142.
Tue May 17 14:06:40 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.20686, valid loss: 0.58386, Acc: 81.7901, AUC: 0.668976.
Tue May 17 14:15:35 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.15362, valid loss: 0.60650, Acc: 80.4012, AUC: 0.666644.
Tue May 17 14:24:24 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.12811, valid loss: 0.74697, Acc: 82.4074, AUC: 0.681683.
Tue May 17 14:33:45 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.09192, valid loss: 0.60234, Acc: 74.5370, AUC: 0.713535.
Tue May 17 14:42:50 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.07051, valid loss: 0.62781, Acc: 75.9259, AUC: 0.689388.
Tue May 17 14:51:44 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.04310, valid loss: 0.65428, Acc: 77.9321, AUC: 0.703633.
Tue May 17 15:00:35 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.04532, valid loss: 0.72720, Acc: 75.6173, AUC: 0.692328.
Tue May 17 15:09:43 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.02490, valid loss: 0.71604, Acc: 81.1728, AUC: 0.701707.
Tue May 17 15:18:36 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.02306, valid loss: 0.75406, Acc: 80.2469, AUC: 0.702349.
Tue May 17 15:27:37 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.03616, valid loss: 0.81860, Acc: 81.1728, AUC: 0.693799.
Tue May 17 15:36:27 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.02890, valid loss: 0.75177, Acc: 79.6296, AUC: 0.698783.
Tue May 17 15:45:45 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00953, valid loss: 0.80561, Acc: 80.7099, AUC: 0.704393.
Tue May 17 15:55:01 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.01101, valid loss: 1.01833, Acc: 82.4074, AUC: 0.700473.
Tue May 17 16:03:47 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00868, valid loss: 0.79212, Acc: 80.8642, AUC: 0.705154.
