Mon Feb 21 09:34:17 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.00660, valid loss: 1.05159, Acc: 83.2818, AUC: 0.729350.
Mon Feb 21 09:40:37 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.00367, valid loss: 1.09947, Acc: 83.4585, AUC: 0.739770.
Mon Feb 21 09:47:14 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.00297, valid loss: 1.10925, Acc: 82.9505, AUC: 0.744674.
Mon Feb 21 09:53:36 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00116, valid loss: 1.19121, Acc: 82.6413, AUC: 0.744886.
Mon Feb 21 10:00:06 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00140, valid loss: 1.17623, Acc: 82.8180, AUC: 0.745041.
Mon Feb 21 10:06:47 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00067, valid loss: 1.11839, Acc: 83.2818, AUC: 0.744030.
Mon Feb 21 10:13:11 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.49515, valid loss: 0.47373, Acc: 82.3840, AUC: 0.657691.
Mon Feb 21 10:19:54 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.45939, valid loss: 0.46031, Acc: 82.3840, AUC: 0.688707.
Mon Feb 21 10:26:32 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.41126, valid loss: 0.46021, Acc: 82.3840, AUC: 0.713080.
Mon Feb 21 10:33:18 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.34106, valid loss: 0.56350, Acc: 82.3400, AUC: 0.693364.
Mon Feb 21 10:39:54 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.27649, valid loss: 0.56511, Acc: 82.7359, AUC: 0.673577.
Mon Feb 21 10:46:41 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.21011, valid loss: 0.61639, Acc: 77.4137, AUC: 0.691483.
Mon Feb 21 10:53:12 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.15199, valid loss: 0.71890, Acc: 82.4280, AUC: 0.644004.
Mon Feb 21 11:00:02 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.10893, valid loss: 0.82521, Acc: 82.3400, AUC: 0.676976.
Mon Feb 21 11:06:24 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.08483, valid loss: 0.73093, Acc: 82.3620, AUC: 0.679937.
Mon Feb 21 11:13:06 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.05517, valid loss: 0.78749, Acc: 82.3180, AUC: 0.702863.
Mon Feb 21 11:19:34 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.04151, valid loss: 0.77180, Acc: 81.5703, AUC: 0.678745.
Mon Feb 21 11:26:04 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.02264, valid loss: 0.91270, Acc: 83.0878, AUC: 0.686675.
Mon Feb 21 11:32:50 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.01748, valid loss: 1.16617, Acc: 82.4720, AUC: 0.691062.
Mon Feb 21 11:39:21 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.01335, valid loss: 1.05193, Acc: 81.8342, AUC: 0.689462.
Mon Feb 21 11:46:13 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.00579, valid loss: 1.02302, Acc: 82.7359, AUC: 0.691143.
Mon Feb 21 11:52:49 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.00308, valid loss: 1.05255, Acc: 82.1861, AUC: 0.695975.
Mon Feb 21 11:59:37 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00184, valid loss: 1.05421, Acc: 82.3840, AUC: 0.697261.
Mon Feb 21 12:06:17 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00144, valid loss: 1.03126, Acc: 82.3840, AUC: 0.692738.
Mon Feb 21 12:13:06 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00096, valid loss: 1.08625, Acc: 82.3840, AUC: 0.697770.
Mon Feb 21 12:19:36 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00079, valid loss: 1.07199, Acc: 82.2080, AUC: 0.694023.
